"div","yr","pdsi","mon"
1,1985,3.63,1
1,1986,-0.95,1
1,1987,-0.7,1
1,1988,1.83,1
1,1989,-1.05,1
1,1990,-3.63,1
1,1991,-0.92,1
1,1992,0,1
1,1993,4.7,1
1,1994,-1.65,1
1,1995,1.85,1
1,1996,-3.01,1
1,1997,-3.53,1
1,1998,0.02,1
1,1999,-1.23,1
1,2000,-3.26,1
1,2001,-2.46,1
1,2002,-3.24,1
1,2003,-4.84,1
1,2004,-2.91,1
1,2005,5.19,1
1,2006,-1.8,1
1,2007,-3.43,1
1,2008,-2.53,1
1,2009,-1.94,1
1,2010,1.48,1
1,2011,0.76,1
1,2012,-1.16,1
1,2013,-1.54,1
1,2014,-2.42,1
1,2015,-2.02,1
1,2016,-1.1,1
1,2017,1.88,1
1,2018,-2.37,1
1,2019,0.52,1
1,2020,1.33,1
3,1985,2.66,1
3,1986,1.66,1
3,1987,0.05,1
3,1988,1.93,1
3,1989,-1.23,1
3,1990,-3.77,1
3,1991,-1,1
3,1992,0.81,1
3,1993,5.72,1
3,1994,-1.34,1
3,1995,1.49,1
3,1996,-2.73,1
3,1997,-3.6,1
3,1998,0.31,1
3,1999,-1.4,1
3,2000,-2.77,1
3,2001,1.54,1
3,2002,-2.44,1
3,2003,-4.97,1
3,2004,-3.12,1
3,2005,5.03,1
3,2006,-2.63,1
3,2007,-3.71,1
3,2008,-2.19,1
3,2009,-1.18,1
3,2010,1.95,1
3,2011,-0.7,1
3,2012,-2.5,1
3,2013,-2.28,1
3,2014,-2.07,1
3,2015,-1.28,1
3,2016,-0.91,1
3,2017,1.38,1
3,2018,-3.23,1
3,2019,0.65,1
3,2020,1.24,1
5,1985,3.77,1
5,1986,-0.88,1
5,1987,-0.26,1
5,1988,1.5,1
5,1989,-0.94,1
5,1990,-2.6,1
5,1991,-1.65,1
5,1992,0.25,1
5,1993,5.31,1
5,1994,-1.54,1
5,1995,1.66,1
5,1996,-3.49,1
5,1997,-3.68,1
5,1998,1.51,1
5,1999,-1.35,1
5,2000,-2.9,1
5,2001,0.58,1
5,2002,-2.81,1
5,2003,-3.98,1
5,2004,-2.71,1
5,2005,4.5,1
5,2006,-1.84,1
5,2007,-2.52,1
5,2008,-1.47,1
5,2009,-1.26,1
5,2010,1.79,1
5,2011,-2.15,1
5,2012,-1.46,1
5,2013,-0.17,1
5,2014,-1.27,1
5,2015,-0.9,1
5,2016,-1.16,1
5,2017,1.2,1
5,2018,-2.91,1
5,2019,1.25,1
5,2020,0.92,1
6,1985,4.34,1
6,1986,-0.77,1
6,1987,0.45,1
6,1988,0.71,1
6,1989,-0.4,1
6,1990,-3.11,1
6,1991,1.49,1
6,1992,0.98,1
6,1993,6.4,1
6,1994,-0.99,1
6,1995,1.87,1
6,1996,-2.61,1
6,1997,-2.82,1
6,1998,0.01,1
6,1999,-1.46,1
6,2000,-2.59,1
6,2001,1.76,1
6,2002,-2.68,1
6,2003,-4.24,1
6,2004,-2.57,1
6,2005,1.96,1
6,2006,-2.81,1
6,2007,-2.44,1
6,2008,1.43,1
6,2009,-1.33,1
6,2010,1.56,1
6,2011,-1.8,1
6,2012,-2.99,1
6,2013,-2.38,1
6,2014,-2.06,1
6,2015,-0.7,1
6,2016,-0.78,1
6,2017,-1.9,1
6,2018,-4.2,1
6,2019,1.01,1
6,2020,1.47,1
7,1985,6.21,1
7,1986,3.42,1
7,1987,1.55,1
7,1988,0.55,1
7,1989,-0.39,1
7,1990,-3.34,1
7,1991,2.14,1
7,1992,2.51,1
7,1993,6.75,1
7,1994,-1.16,1
7,1995,2.93,1
7,1996,-2.64,1
7,1997,-2.2,1
7,1998,0.58,1
7,1999,-2.1,1
7,2000,-3.23,1
7,2001,3.01,1
7,2002,-2.08,1
7,2003,-3.84,1
7,2004,-3.23,1
7,2005,0.93,1
7,2006,-3.13,1
7,2007,-1.9,1
7,2008,-1.58,1
7,2009,-1.31,1
7,2010,1.43,1
7,2011,-2.27,1
7,2012,-2.83,1
7,2013,-2.92,1
7,2014,-2.65,1
7,2015,1.82,1
7,2016,-0.13,1
7,2017,-0.82,1
7,2018,-4.78,1
7,2019,0.93,1
7,2020,1.93,1
1,1985,3.27,2
1,1986,-1,2
1,1987,-0.7,2
1,1988,1.52,2
1,1989,-1.41,2
1,1990,-3.31,2
1,1991,-1.27,2
1,1992,0.71,2
1,1993,6.56,2
1,1994,-1.61,2
1,1995,1.65,2
1,1996,-3.05,2
1,1997,-3.37,2
1,1998,1.69,2
1,1999,-1.64,2
1,2000,-3.14,2
1,2001,-1.98,2
1,2002,-3.78,2
1,2003,-3.47,2
1,2004,-2.16,2
1,2005,6.73,2
1,2006,-2.52,2
1,2007,-3.86,2
1,2008,-2.14,2
1,2009,-1.33,2
1,2010,1.76,2
1,2011,1.33,2
1,2012,-1.41,2
1,2013,-1.7,2
1,2014,-2.99,2
1,2015,-2.36,2
1,2016,-1.68,2
1,2017,1.84,2
1,2018,-2.62,2
1,2019,2.03,2
1,2020,1.08,2
3,1985,2.65,2
3,1986,1.38,2
3,1987,0.28,2
3,1988,1.59,2
3,1989,-1.74,2
3,1990,-3.45,2
3,1991,-1.21,2
3,1992,1.41,2
3,1993,7.49,2
3,1994,-1.29,2
3,1995,1.84,2
3,1996,-3,2
3,1997,-3.34,2
3,1998,1.38,2
3,1999,-1.96,2
3,2000,-2.98,2
3,2001,1.47,2
3,2002,-3.18,2
3,2003,-3.47,2
3,2004,-2.87,2
3,2005,6.34,2
3,2006,-3.38,2
3,2007,-3.91,2
3,2008,-1.81,2
3,2009,-0.97,2
3,2010,2.1,2
3,2011,-0.49,2
3,2012,-2.91,2
3,2013,-2.39,2
3,2014,-2.79,2
3,2015,-1.75,2
3,2016,-1.65,2
3,2017,1.74,2
3,2018,-3.42,2
3,2019,1.78,2
3,2020,1.01,2
5,1985,3.56,2
5,1986,-1.04,2
5,1987,-0.57,2
5,1988,-0.13,2
5,1989,-1.16,2
5,1990,-2.51,2
5,1991,-1.9,2
5,1992,1.5,2
5,1993,7.01,2
5,1994,-1.34,2
5,1995,1.57,2
5,1996,-3.71,2
5,1997,-3.82,2
5,1998,3.37,2
5,1999,-1.35,2
5,2000,-3.21,2
5,2001,1.06,2
5,2002,-3.23,2
5,2003,-2.6,2
5,2004,-2.49,2
5,2005,6.28,2
5,2006,-2.41,2
5,2007,-2.92,2
5,2008,-1.41,2
5,2009,-1.1,2
5,2010,2.3,2
5,2011,-1.6,2
5,2012,-1.94,2
5,2013,-0.2,2
5,2014,-2.06,2
5,2015,-1.77,2
5,2016,-1.96,2
5,2017,2,2
5,2018,-3.14,2
5,2019,1.64,2
5,2020,0.96,2
6,1985,4.08,2
6,1986,-0.59,2
6,1987,1.02,2
6,1988,-0.35,2
6,1989,-0.95,2
6,1990,-2.72,2
6,1991,1.04,2
6,1992,1.82,2
6,1993,7.34,2
6,1994,-0.75,2
6,1995,1.73,2
6,1996,-2.61,2
6,1997,-2.68,2
6,1998,2.24,2
6,1999,-2.02,2
6,2000,-3.13,2
6,2001,1.66,2
6,2002,-3.25,2
6,2003,-2.67,2
6,2004,-2.41,2
6,2005,3.52,2
6,2006,-3.42,2
6,2007,-2.67,2
6,2008,1.34,2
6,2009,-1.28,2
6,2010,1.75,2
6,2011,-1.74,2
6,2012,-3.3,2
6,2013,-2.28,2
6,2014,-2.86,2
6,2015,-1.3,2
6,2016,-1.48,2
6,2017,-1.59,2
6,2018,-4.07,2
6,2019,2.2,2
6,2020,1.56,2
7,1985,6.06,2
7,1986,3.25,2
7,1987,1.92,2
7,1988,-0.19,2
7,1989,-0.98,2
7,1990,-2.98,2
7,1991,2.22,2
7,1992,2.83,2
7,1993,6.96,2
7,1994,-0.99,2
7,1995,3.13,2
7,1996,-2.7,2
7,1997,-1.95,2
7,1998,2.16,2
7,1999,-2.84,2
7,2000,-3.76,2
7,2001,2.68,2
7,2002,-2.46,2
7,2003,-3.07,2
7,2004,-2.89,2
7,2005,1.9,2
7,2006,-3.76,2
7,2007,-2.09,2
7,2008,-1.54,2
7,2009,-1.71,2
7,2010,1.84,2
7,2011,-2.45,2
7,2012,-2.98,2
7,2013,-2.74,2
7,2014,-3.42,2
7,2015,-0.63,2
7,2016,-0.85,2
7,2017,-1.11,2
7,2018,-3.85,2
7,2019,1.68,2
7,2020,1.96,2
1,1985,2.93,3
1,1986,-0.91,3
1,1987,-0.65,3
1,1988,0.86,3
1,1989,-1.96,3
1,1990,-3.41,3
1,1991,1.29,3
1,1992,2.62,3
1,1993,6.05,3
1,1994,-1.58,3
1,1995,2.23,3
1,1996,-3.51,3
