plot,code,area.sqmi,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
Arrastra Mtns,AM,1.1,60,,,,,,,,,,35,,,,,36,,,,20,,,,,,,,,,,,49,,
Bonanza Wash,BZ,1,,,,,,62,,,,,35,,,,,35,,,,19,,,,,,,,,,,40,,,
Buck Mtns,BM,1,,,,,,,,,,,,,,,,33,,,38,,,,,35,,,,,,,,,,
Eagletail Mtns,ET,1,52,,,61,36,35,35,35,,,,35,,,,,40,,,,29,,,,,,,,,,,,50,
East Bajada,EB,1,,,,89,,,60,,,,60,,,,,60,,,,,11,,,,,,,,,,,52,,
FS Four Peaks,FP,0.38,,,,,,56,,,56,,,,,,60,,,,,,,,,,,,,,,,60,,,
Granite Hills,GH,1,,,,66,60,60,60,60,,,,60,,,,,60,,,,36,,,,,,,,,,,,,60
Harcuvar Mtns,HM,1,,68,,,,,64,,,,60,,,,,60,,,,45,,,,,,,,,,,70,,,
Harquahala Mtns,HQ,1,,67,,,,,,60.5,,,,,,,35,,,28,,,,,,,,,,,,46,,,,
Hualapai Foothills,HF,1,,,,,60,,,,,60,,,,,60,,,,35,,,,,,,,,,,68,,,,
Little Shipp Wash,LS,1,,,,61,60,60,60,60,,,,60,,,,,60,,,,45,,,,,,,,,,,71,,
Maricopa Mtns,MM,0.87,68,,,60,,,,,,,,,,60,,,,,47,,,,,,,,,,46,,,,,
New Water Mtns,NW,1,,46,,,,,,,,,,,35,,,,25,,,,18,,,,,,,,,,,,,46
San Pedro Valley,SP,1,,,,,60,,,,60,,,,,,60,,,60,,,,29,,,,,,,,,,,,60
Tortilla Mtns,TM,1,,,,,,60,,,,60,,,,,60,,,,,44,,,,,,,,,56,,,,,
West Silverbell Mtns,WS,1,,,,,60,,,,60,,,,,60,,,,62,,,,27,,,,,,,,,,,,
Wickenburg Mtns,WM,0.5,,,,,60,,,,,,,,,36,,,,35,,,,20,,,,,,,,,,,,
