"plot","yr.m","ppt","yr","mon","season"
"AM","1985-01",45.71,1985,1,1985
"AM","1985-02",39.63,1985,2,1985
"AM","1985-03",31.7,1985,3,1985
"AM","1985-04",19.34,1985,4,1985
"AM","1985-05",6.51,1985,5,1985
"AM","1985-06",2.63,1985,6,1985
"AM","1985-07",59.43,1985,7,1985
"AM","1985-08",6.71,1985,8,1986
"AM","1985-09",26.08,1985,9,1986
"AM","1985-10",30.72,1985,10,1986
"AM","1985-11",90.72,1985,11,1986
"AM","1985-12",1.46,1985,12,1986
"AM","1986-01",12.09,1986,1,1986
"AM","1986-02",38.58,1986,2,1986
"AM","1986-03",67.08,1986,3,1986
"AM","1986-04",9.63,1986,4,1986
"AM","1986-05",2.31,1986,5,1986
"AM","1986-06",9.66,1986,6,1986
"AM","1986-07",26.45,1986,7,1986
"AM","1986-08",67.74,1986,8,1987
"AM","1986-09",49.53,1986,9,1987
"AM","1986-10",21.41,1986,10,1987
"AM","1986-11",17.42,1986,11,1987
"AM","1986-12",31.39,1986,12,1987
"AM","1987-01",36.84,1987,1,1987
"AM","1987-02",45.9,1987,2,1987
"AM","1987-03",19.22,1987,3,1987
"AM","1987-04",10.68,1987,4,1987
"AM","1987-05",9.11,1987,5,1987
"AM","1987-06",5.33,1987,6,1987
"AM","1987-07",18.16,1987,7,1987
"AM","1987-08",41.9,1987,8,1988
"AM","1987-09",21.28,1987,9,1988
"AM","1987-10",59.95,1987,10,1988
"AM","1987-11",66.35,1987,11,1988
"AM","1987-12",36.31,1987,12,1988
"AM","1988-01",42.17,1988,1,1988
"AM","1988-02",27.51,1988,2,1988
"AM","1988-03",2.93,1988,3,1988
"AM","1988-04",68.35,1988,4,1988
"AM","1988-05",0,1988,5,1988
"AM","1988-06",1.41,1988,6,1988
"AM","1988-07",48.36,1988,7,1988
"AM","1988-08",143.95,1988,8,1989
"AM","1988-09",3.47,1988,9,1989
"AM","1988-10",1.54,1988,10,1989
"AM","1988-11",16.65,1988,11,1989
"AM","1988-12",8.34,1988,12,1989
"AM","1989-01",57.1,1989,1,1989
"AM","1989-02",9.6,1989,2,1989
"AM","1989-03",22.57,1989,3,1989
"AM","1989-04",0,1989,4,1989
"AM","1989-05",3.39,1989,5,1989
"AM","1989-06",0,1989,6,1989
